time	V(n002)	V(n005)	I(C3)
2.016950000000019e-008	2.239133e-001	5.000000e-001	2.278846e-002
2.018850000000021e-008	2.388857e-001	5.000000e-001	2.252661e-002
2.020750000000023e-008	2.537663e-001	5.000000e-001	2.221152e-002
2.022378571428596e-008	2.664133e-001	5.000000e-001	2.177088e-002
2.024007142857170e-008	2.785749e-001	5.000000e-001	2.119390e-002
2.025635714285743e-008	2.902509e-001	5.000000e-001	2.048057e-002
2.027264285714316e-008	3.014414e-001	5.000000e-001	1.963091e-002
2.028892857142890e-008	3.121465e-001	5.000000e-001	1.864490e-002
2.030521428571463e-008	3.223660e-001	5.000000e-001	1.752255e-002
2.032150000000036e-008	3.321000e-001	5.000000e-001	1.626386e-002
2.032892857142894e-008	3.362176e-001	5.000000e-001	1.568686e-002
2.033635714285752e-008	3.401914e-001	5.000000e-001	1.511741e-002
2.034378571428610e-008	3.440215e-001	5.000000e-001	1.455552e-002
2.035121428571468e-008	3.477078e-001	5.000000e-001	1.400118e-002
2.035864285714326e-008	3.512503e-001	5.000000e-001	1.345440e-002
2.036607142857184e-008	3.546491e-001	5.000000e-001	1.291517e-002
2.037350000000042e-008	3.579042e-001	5.000000e-001	1.238350e-002
2.037450000000042e-008	3.583329e-001	5.000000e-001	1.231426e-002
2.039121428571473e-008	3.650142e-001	5.000000e-001	1.121613e-002
2.040792857142903e-008	3.712210e-001	5.000000e-001	1.020992e-002
2.042464285714334e-008	3.769534e-001	5.000000e-001	9.295622e-003
2.044135714285764e-008	3.822113e-001	5.000000e-001	8.473245e-003
2.045807142857195e-008	3.869947e-001	5.000000e-001	7.742786e-003
2.047478571428625e-008	3.913037e-001	5.000000e-001	7.104245e-003
2.049150000000055e-008	3.951383e-001	5.000000e-001	6.557622e-003
2.050650000000057e-008	3.983864e-001	5.000000e-001	6.118323e-003
2.052150000000059e-008	4.014613e-001	5.000000e-001	5.713315e-003
2.053650000000061e-008	4.043629e-001	5.000000e-001	5.342599e-003
2.055150000000062e-008	4.070912e-001	5.000000e-001	5.006174e-003
2.056650000000064e-008	4.096462e-001	5.000000e-001	4.704041e-003
